DATE,UNEMBARKED_KG,LIVE_CAPTURED_KG,PROFIT
2017-01-01,15290000,17181647,254643897
2017-02-01,18713536,21046068,266104712
2017-03-01,28354342,30922696,423068785
2017-04-01,22248385,23889970,253679234
2017-05-01,20767648,22160183,247114278
2017-06-01,24460879,25920471,674921470
2017-07-01,24879012,25999761,746585152
2017-08-01,25585554,26882344,933472698
2017-09-01,20011383,21216946,926795799
2017-10-01,24662750,26685459,1318361149
2017-11-01,33079227,35084012,1573713197
2017-12-01,29984472,31990968,1439943082
2018-01-01,18944378,21288539,330619590
2018-02-01,16309017,18145472,298788699
2018-03-01,26079233,28365138,411576822
2018-04-01,30391447,32683903,426109325
2018-05-01,22234812,23656869,346793422
2018-06-01,26522325,28071821,684864158
2018-07-01,36093907,37439301,1131304949
2018-08-01,27784866,28126660,1029219260
2018-09-01,21687265,22580929,948768660
2018-10-01,29733063,32232344,1528252827
2018-11-01,39862307,41721522,1988954586
2018-12-01,30858137,33065547,1494625226
2019-01-01,15416260,16875869,456689042
2019-02-01,17688958,19653687,431953995
2019-03-01,31046275,34400772,485045632
2019-04-01,30361861,31821894,414867535
2019-05-01,23144344,24689823,672379740
2019-06-01,34138522,35870246,926685159
2019-07-01,34930017,36113906,1235407996
2019-08-01,33851812,35090053,1011488873
2019-09-01,22562658,23018561,1047015639
2019-10-01,29604059,31345342,1727630598
2019-11-01,36617449,38715536,1797982094
2019-12-01,24144151,26004885,1007456707
2020-01-01,15997357,17938065,615536330
2020-02-01,20536344,22440048,574847130
2020-03-01,29549488,31875373,610511227
2020-04-01,33363305,35993727,488092802
2020-05-01,17979340,19312760,318450941
2020-06-01,32592909,34127104,855329505
2020-07-01,36968640,38146975,1372632255
2020-08-01,26613464,27771533,895489730
2020-09-01,25932692,26724973,989054282
2020-10-01,24918569,26496874,1541902254
2020-11-01,35343685,37339147,2685839383
2020-12-01,43371578,46487283,1896809087
